condition_id,condition,question_id,generation_seed,source_status,gold_answer,v4_status,v4_extracted_answer,v4_correct,v4_abstain_reason,finish_reason,truncated,eos_seen,generated_token_count,latency_s,peak_gpu_memory_mb,runtime_error,nonfinite,source_file
C0,FP_STATE,aime26_11,1,REUSED,896,EXTRACTED,896,True,,eos,False,True,38793,2871.983421087265,18437.07177734375,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
C0,FP_STATE,aime26_12,1,REUSED,161,EXTRACTED,161,True,,eos,False,True,35517,2576.692960500717,18323.91748046875,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
C0,FP_STATE,aime26_13,1,REUSED,39,EXTRACTED,39,True,,eos,False,True,25061,1802.795359134674,17975.43896484375,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
C0,FP_STATE,aime26_14,1,REUSED,681,EXTRACTED,681,True,,eos,False,True,27215,1923.8414442539215,18044.09033203125,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
C0,FP_STATE,aime26_15,1,REUSED,83,ABSTAIN,,False,ABSTAIN_TRUNCATED_WITHOUT_EXPLICIT_FINAL,length,True,False,81920,6067.714584112167,19865.70068359375,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
C0,FP_STATE,aime26_16,1,REUSED,178,EXTRACTED,178,True,,eos,False,True,14274,1042.614338874817,17612.03271484375,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
C0,FP_STATE,aime26_17,1,REUSED,243,EXTRACTED,243,True,,eos,False,True,39669,2962.658591270447,18480.08740234375,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
C0,FP_STATE,aime26_18,1,REUSED,503,EXTRACTED,503,True,,eos,False,True,27514,1991.2544145584106,18063.10302734375,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
C0,FP_STATE,aime26_19,1,REUSED,279,EXTRACTED,279,True,,eos,False,True,21731,1620.0149447917938,17864.20068359375,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
C0,FP_STATE,aime26_20,1,REUSED,190,EXTRACTED,190,True,,eos,False,True,16910,1189.8143088817596,17701.93017578125,,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
