model,condition,problem_id,seed,gold_answer,v4_status,v4_extracted_answer,v4_correct,v4_abstain_reason,finish_reason,truncated,eos_seen,generated_token_count,runtime_error,nonfinite,source_file
Qwen3.5-9B,QWEN_FP_STATE,aime26_01,1,277,EXTRACTED,277,True,,eos,False,True,9572,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_01,2,277,EXTRACTED,277,True,,eos,False,True,13887,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker1/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_02,1,62,EXTRACTED,62,True,,eos,False,True,18484,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_02,2,62,EXTRACTED,62,True,,eos,False,True,16604,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker3/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_03,1,79,EXTRACTED,79,True,,eos,False,True,21000,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_03,2,79,EXTRACTED,79,True,,eos,False,True,15676,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker1/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_04,1,70,EXTRACTED,70,True,,eos,False,True,25281,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_04,2,70,EXTRACTED,70,True,,eos,False,True,22073,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker3/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_05,1,65,EXTRACTED,65,True,,eos,False,True,24825,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_05,2,65,EXTRACTED,65,True,,eos,False,True,22806,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker1/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_06,1,441,EXTRACTED,441,True,,eos,False,True,14912,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_06,2,441,EXTRACTED,441,True,,eos,False,True,15350,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker3/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_07,1,396,EXTRACTED,396,True,,eos,False,True,14536,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_07,2,396,EXTRACTED,396,True,,eos,False,True,19609,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker1/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_08,1,244,EXTRACTED,244,True,,eos,False,True,17144,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_08,2,244,EXTRACTED,244,True,,eos,False,True,20830,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker3/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_09,1,29,EXTRACTED,29,True,,eos,False,True,34766,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker0/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_09,2,29,EXTRACTED,29,True,,eos,False,True,41742,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker1/fp_state.jsonl
Qwen3.5-9B,QWEN_FP_STATE,aime26_10,1,156,EXTRACTED,49,False,,eos,False,True,51228,False,False,/data/zypan/worktrees/aime26-sglang-rotation-v1/artifacts/aime26_v2/official_sampling_81920/qwen/formal/shards/worker2/fp_state.jsonl
