condition,confidence,evidence_excerpt_positions,failure_class,first_gold_candidate_pos,first_gold_strong_candidate_pos,fp_correct,fp_num_tokens,gold,hadamard_available,hadamard_correct,hadamard_tokens,hit_limit,int8_candidate_count,last_gold_candidate_pos,last_gold_strong_candidate_pos,longest_repeated_span,model,num_candidate_changes,num_generated_tokens,problem_id,repeated_16gram_fraction,repeated_32gram_fraction,repeated_8gram_fraction,seed,self_correction_count,signals,strong_candidate_aba_count,strong_candidate_count,strong_num_candidate_changes,v4_result
fp_state,MEDIUM,"repeat=32@3789,4776;corrections=522;candidate_changes=10",REASONING_OSCILLATION,,,,,83,,,,True,13,,,32,qwen,10,81920,aime26_15,0.020938892619498217,0.001147895321715997,0.15512800166029816,1,522,ANSWER_OSCILLATION,2,10,7,ABSTAIN
fp_state,LOW,"repeat=32@38672,46256;corrections=488;candidate_changes=8",PRODUCTIVE_LONG_REASONING,,,,,107,,,,True,12,,,32,qwen,8,81920,aime26_28,0.011403455222513847,0.000488466094347273,0.1356072906620439,1,488,,0,1,0,ABSTAIN
fp_state,MEDIUM,"repeat=32@2187,4951;corrections=227;candidate_changes=7",TEXTUAL_REPETITION_LOOP,,,,,107,,,,True,10,,,32,qwen,7,81920,aime26_28,0.5270007936023442,0.5224511228614344,0.5747805598622929,2,227,TEXTUAL_REPETITION,0,1,0,ABSTAIN
int8_c128,MEDIUM,"repeat=64@75499,75594;corrections=2295;candidate_changes=0",TEXTUAL_REPETITION_LOOP,,,True,34766,29,True,True,37084,True,3,,,64,qwen,0,81920,aime26_09,0.10305842134179843,0.07758062743469818,0.2236030910844432,1,2295,TEXTUAL_REPETITION,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=64@39370,60003;corrections=596;candidate_changes=1",UNCLEAR,,,True,38793,896,True,False,33097,True,2,,,64,qwen,1,81920,aime26_11,0.03091386362248949,0.003797823883549656,0.1456301197612101,1,596,,0,2,1,ABSTAIN
int8_c128,MEDIUM,"first_gold=74699;repeat=64@7934,10669;corrections=675;candidate_changes=16",ANSWER_COMMIT_FAILURE,74699,74699,True,25061,39,True,False,44250,True,24,74699,74699,64,qwen,16,81920,aime26_13,0.07519687442769063,0.0062401543552857985,0.2945197953926727,1,675,EARLY_GOLD_WITHOUT_COMMIT,0,3,2,ABSTAIN
int8_c128,MEDIUM,"repeat=32@5624,31440;corrections=648;candidate_changes=15",REASONING_OSCILLATION,,,False,81920,83,True,False,37410,True,25,,,32,qwen,15,81920,aime26_15,0.00891276478847447,0.00031750296132571076,0.11432861694724894,1,648,ANSWER_OSCILLATION,5,18,10,ABSTAIN
int8_c128,LOW,"repeat=100@2228,2707;corrections=645;candidate_changes=1",UNCLEAR,,,True,39669,243,True,True,52430,True,4,,,100,qwen,1,81920,aime26_17,0.009962761736157733,0.002124827510410432,0.13714550803901704,1,645,,0,2,0,ABSTAIN
int8_c128,MEDIUM,"repeat=32@3749,5881;corrections=2589;candidate_changes=1",TEXTUAL_REPETITION_LOOP,,,True,42942,50,True,True,33918,True,2,,,32,qwen,1,81920,aime26_21,0.07882302667724805,0.06032556265188238,0.20297144531393063,1,2589,TEXTUAL_REPETITION,0,0,0,ABSTAIN
int8_c128,LOW,"repeat=64@30959,35171;corrections=606;candidate_changes=6",UNCLEAR,,,True,26601,223,True,True,26972,True,9,,,64,qwen,6,81920,aime26_27,0.03124351382699464,0.0038588821453431343,0.17308607913273844,1,606,,0,1,0,ABSTAIN
int8_c128,LOW,"repeat=32@62065,62235;corrections=762;candidate_changes=4",UNCLEAR,,,True,29578,157,True,True,35085,True,10,,,32,qwen,4,81920,aime26_29,0.010988340150174025,0.00021980974245627838,0.10595387789483968,1,762,,0,5,1,ABSTAIN
