problem_id,seed,condition_label,method,gold,v4_extracted_answer,v4_correct,v4_abstain,v4_status,finish_type,eos_generated,length_limit,token_length,generated_text_chars,rep4_rate,rep8_rate,rep16_rate,first_divergence_token,failure_mode,source_path
aime26_01,1,FP_STATE,LING_FP_STATE,277,277,True,False,EXTRACTED,stop,True,False,1816,3950,0.4616657473800331,0.208955223880597,0.03553581343697946,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_01_seed1.json
aime26_02,1,FP_STATE,LING_FP_STATE,62,62,True,False,EXTRACTED,stop,True,False,11127,24017,0.48381877022653724,0.15035971223021583,0.026187904967602593,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_02_seed1.json
aime26_03,1,FP_STATE,LING_FP_STATE,79,79,True,False,EXTRACTED,stop,True,False,11960,40015,0.46157062808396754,0.14481720070275245,0.026203432398493095,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_03_seed1.json
aime26_04,1,FP_STATE,LING_FP_STATE,70,70,True,False,EXTRACTED,stop,True,False,18253,39377,0.6116164383561644,0.269922174723227,0.10275249479109551,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_04_seed1.json
aime26_05,1,FP_STATE,LING_FP_STATE,65,65,True,False,EXTRACTED,stop,True,False,13792,38794,0.38436434839364714,0.13514689880304678,0.03520360020323728,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_05_seed1.json
aime26_06,1,FP_STATE,LING_FP_STATE,441,441,True,False,EXTRACTED,stop,True,False,12353,25743,0.6177327935222672,0.3771261947189373,0.1637218349813584,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_06_seed1.json
aime26_07,1,FP_STATE,LING_FP_STATE,396,1,False,False,EXTRACTED,stop,True,False,773,2599,0.2077922077922078,0.06657963446475196,0.009234828496042216,,Wrong branch,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_07_seed1.json
aime26_08,1,FP_STATE,LING_FP_STATE,244,244,True,False,EXTRACTED,stop,True,False,19784,41766,0.6458217481421566,0.33114223593062647,0.10860438059588244,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_08_seed1.json
aime26_09,1,FP_STATE,LING_FP_STATE,29,403,False,False,EXTRACTED,stop,True,False,51379,153667,0.44711538461538464,0.12919489215915284,0.020987462035667002,,Wrong branch,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_09_seed1.json
aime26_10,1,FP_STATE,LING_FP_STATE,156,168,False,False,EXTRACTED,stop,True,False,80352,236284,0.5218359904914809,0.2045926940070944,0.05052466484932223,,Wrong branch,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_10_seed1.json
aime26_11,1,FP_STATE,LING_FP_STATE,896,736,False,False,EXTRACTED,stop,True,False,50419,142447,0.43087511900983816,0.12744981353645957,0.030453932227600983,,Wrong branch,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_11_seed1.json
aime26_12,1,FP_STATE,LING_FP_STATE,161,161,True,False,EXTRACTED,stop,True,False,25023,63809,0.41830535571542765,0.15246242404860888,0.04106685860524632,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_12_seed1.json
aime26_13,1,FP_STATE,LING_FP_STATE,39,39,True,False,EXTRACTED,stop,True,False,43703,114216,0.5746910755148742,0.264738191138777,0.08343252151620582,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_13_seed1.json
aime26_14,1,FP_STATE,LING_FP_STATE,681,,False,False,EXTRACTED,length,False,True,261523,559116,0.7817834200061181,0.4752022820783432,0.23709790905058353,,Reasoning oscillation,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_14_seed1.json
aime26_15,1,FP_STATE,LING_FP_STATE,83,1,False,False,EXTRACTED,stop,True,False,125236,346563,0.5691950204818219,0.14952606824297887,0.019086255500275512,,Wrong branch,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_15_seed1.json
aime26_16,1,FP_STATE,LING_FP_STATE,178,178,True,False,EXTRACTED,stop,True,False,9789,26321,0.41651338647046804,0.14536904518503374,0.03294454675670145,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_16_seed1.json
aime26_17,1,FP_STATE,LING_FP_STATE,243,,False,False,EXTRACTED,stop,True,False,108027,292046,0.5216711101236762,0.15808183669690798,0.037264378032070514,,Wrong branch,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_17_seed1.json
aime26_18,1,FP_STATE,LING_FP_STATE,503,503,True,False,EXTRACTED,stop,True,False,40553,99798,0.5892971639950678,0.22791397425146748,0.05491144111697666,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_18_seed1.json
aime26_19,1,FP_STATE,LING_FP_STATE,279,279,True,False,EXTRACTED,stop,True,False,15767,40142,0.4214031971580817,0.11211928934010153,0.015871000507872015,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_19_seed1.json
aime26_20,1,FP_STATE,LING_FP_STATE,190,190,True,False,EXTRACTED,stop,True,False,12199,25439,0.4620367333551984,0.16724081364829396,0.04530531845042679,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_20_seed1.json
aime26_21,1,FP_STATE,LING_FP_STATE,50,50,True,False,EXTRACTED,stop,True,False,27745,74585,0.5908369980534929,0.2780661907852044,0.08907320591417238,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_21_seed1.json
aime26_22,1,FP_STATE,LING_FP_STATE,754,754,True,False,EXTRACTED,stop,True,False,31683,58033,0.6321022727272727,0.3179694405859326,0.12937350006315523,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_22_seed1.json
aime26_23,1,FP_STATE,LING_FP_STATE,245,245,True,False,EXTRACTED,stop,True,False,34732,72036,0.4927870079760431,0.17123110151187904,0.04562606215974883,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_23_seed1.json
aime26_24,1,FP_STATE,LING_FP_STATE,669,669,True,False,EXTRACTED,stop,True,False,33676,60541,0.7034122293825914,0.4061005672874157,0.15106503074774963,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_24_seed1.json
aime26_25,1,FP_STATE,LING_FP_STATE,850,850,True,False,EXTRACTED,stop,True,False,37880,122454,0.43416849275285796,0.10841496580677527,0.016268321669087548,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_25_seed1.json
aime26_26,1,FP_STATE,LING_FP_STATE,132,132,True,False,EXTRACTED,stop,True,False,55345,153872,0.44505077517979114,0.1251942607249991,0.02575456352792337,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_26_seed1.json
aime26_27,1,FP_STATE,LING_FP_STATE,223,223,True,False,EXTRACTED,stop,True,False,42659,87193,0.5784414853713429,0.2701162899746788,0.09968577056561298,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_27_seed1.json
aime26_28,1,FP_STATE,LING_FP_STATE,107,107,True,False,EXTRACTED,stop,True,False,125128,389867,0.4545294705294705,0.1018134445856411,0.014131225372263474,,,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_28_seed1.json
aime26_29,1,FP_STATE,LING_FP_STATE,157,4,False,False,EXTRACTED,stop,True,False,39653,119606,0.3792938209331652,0.084043787519548,0.01316918108885413,,Wrong branch,artifacts/ling_256k_length_sensitivity_tp1x2_v1/records/formal256k/fp_state/aime26_29_seed1.json
